,Daily Confirmed,Daily Deceased,Daily Recovered,Date,Total Confirmed,Total Deceased,Total Recovered,Total Active
0,1,0,0,30 January ,1,0,0,1
1,0,0,0,31 January ,1,0,0,1
2,0,0,0,01 February ,1,0,0,1
3,1,0,0,02 February ,2,0,0,2
4,1,0,0,03 February ,3,0,0,3
5,0,0,0,04 February ,3,0,0,3
6,0,0,0,05 February ,3,0,0,3
7,0,0,0,06 February ,3,0,0,3
8,0,0,0,07 February ,3,0,0,3
9,0,0,0,08 February ,3,0,0,3
10,0,0,0,09 February ,3,0,0,3
11,0,0,0,10 February ,3,0,0,3
12,0,0,0,11 February ,3,0,0,3
13,0,0,0,12 February ,3,0,0,3
14,0,0,1,13 February ,3,0,1,2
15,0,0,0,14 February ,3,0,1,2
16,0,0,0,15 February ,3,0,1,2
17,0,0,1,16 February ,3,0,2,1
18,0,0,0,17 February ,3,0,2,1
19,0,0,0,18 February ,3,0,2,1
20,0,0,0,19 February ,3,0,2,1
21,0,0,1,20 February ,3,0,3,0
22,0,0,0,21 February ,3,0,3,0
23,0,0,0,22 February ,3,0,3,0
24,0,0,0,23 February ,3,0,3,0
25,0,0,0,24 February ,3,0,3,0
26,0,0,0,25 February ,3,0,3,0
27,0,0,0,26 February ,3,0,3,0
28,0,0,0,27 February ,3,0,3,0
29,0,0,0,28 February ,3,0,3,0
30,0,0,0,29 February ,3,0,3,0
31,0,0,0,01 March ,3,0,3,0
32,2,0,0,02 March ,5,0,3,2
33,1,0,0,03 March ,6,0,3,3
34,22,0,0,04 March ,28,0,3,25
35,2,0,0,05 March ,30,0,3,27
36,1,0,0,06 March ,31,0,3,28
37,3,0,0,07 March ,34,0,3,31
38,5,0,0,08 March ,39,0,3,36
39,9,0,0,09 March ,48,0,3,45
40,15,0,1,10 March ,63,0,4,59
41,8,0,0,11 March ,71,0,4,67
42,10,1,0,12 March ,81,1,4,76
43,10,0,6,13 March ,91,1,10,80
44,11,1,0,14 March ,102,2,10,90
45,10,0,3,15 March ,112,2,13,97
46,14,0,1,16 March ,126,2,14,110
47,20,1,1,17 March ,146,3,15,128
48,25,0,0,18 March ,171,3,15,153
49,27,1,5,19 March ,198,4,20,174
50,58,0,3,20 March ,256,4,23,229
51,78,0,0,21 March ,334,4,23,307
52,69,3,0,22 March ,403,7,23,373
53,94,2,2,23 March ,497,9,25,463
54,74,1,15,24 March ,571,10,40,521
55,86,1,3,25 March ,657,11,43,603
56,73,5,7,26 March ,730,16,50,664
57,153,3,25,27 March ,883,19,75,789
58,141,5,10,28 March ,1024,24,85,915
59,115,3,17,29 March ,1139,27,102,1010
60,190,16,35,30 March ,1329,43,137,1149
61,306,6,13,31 March ,1635,49,150,1436
62,424,7,19,01 April ,2059,56,169,1834
63,486,16,22,02 April ,2545,72,191,2282
64,560,14,39,03 April ,3105,86,230,2789
65,579,13,56,04 April ,3684,99,286,3299
66,605,22,43,05 April ,4289,121,329,3839
67,489,16,65,06 April ,4778,137,394,4247
68,573,27,75,07 April ,5351,164,469,4718
69,565,20,96,08 April ,5916,184,565,5167
70,813,46,70,09 April ,6729,230,635,5864
71,871,22,151,10 April ,7600,252,786,6562
72,854,40,186,11 April ,8454,292,972,7190
73,0,1,0,12 April ,8454,293,972,7189
